Auteurs,References articles
D.Zanon,"['9201067', '9202069', '9302134', '9403194', '9407069', '9501105', '9501126', '9512174', '9605124', '9610001', '9702051', '9703081', '9706013', '9801102', '9801111', '9907214', '9910197', '0003026', '0004077', '0005223', '0006067', '0104141', '0201103', '0201106', '0203038', '0211017']"
M.Martellini,"['9201068', '9201069', '9203053', '9203055', '9204032', '9207059', '9210088', '9211136', '9212079', '9212080', '9302011', '9307105', '9402030', '9407070', '9407097', '9409037', '9409118', '9410222', '9411088', '9502023', '9502110', '9507003', '9602103', '9605018', '9704034', '9705123', '9706050', '9803029', '9806202']"
M.Spreafico,"['9201068', '9201069', '9212080', '9307105', '9502023', '9602103']"
K.Yoshida,"['9201068', '9201069', '9212080', '9212130', '9212131', '9212132', '9304018', '9307105', '9502023', '9602103', '9812022', '0012111', '0110104']"
E.Nissimov,"['9201070', '9209006', '9306035', '9401058', '9407017', '9407112', '9501018', '9505128', '9602068', '9607234']"
S.Pacheva,"['9201070', '9209006', '9306035', '9401058', '9407017', '9407112', '9501018', '9505128', '9602068', '9607234']"
I.Vaysburd,"['9201070', '9209006']"
N.Chair,"['9201071', '0009037']"
V.K.Dobrev,"['9201071', '9303115', '9405150', '9812194', '0201076', '0207116', '0303179']"
H.Kanno,"['9201071', '9207078', '9209122', '9302048', '9404056', '9704167', '9705127', '9903260', '9910003', '0304184']"
Shamit Kachru,"['9201072', '9204053', '9307038', '9406090', '9406091', '9501111', '9501131', '9505105', '9508096', '9509170', '9603059', '9608194', '9610205', '9612162', '9704185', '9705173', '9709118', '9712035', '9801109', '9803050', '9807076', '9808056', '9810129', '9907038', '9908135', '9912151', '0001206', '0002121', '0006047', '0103223', '0105097', '0109069', '0112197', '0201028', '0211182', '0301240']"
Alex Lyons,['9201073']
L.Susskind,"['9201074', '9203054', '9206070', '9209012', '9305030', '9306069', '9307168', '9308100', '9401070', '9402136', '9405117', '9409089', '9410074', '9511193', '9511194', '9605112', '9609075', '9610043', '9703102', '9705190', '9709091', '9711005', '9805114', '9805115', '9806039', '0005015', '0005040', '0010105', '0011164', '0101029']"
L.Thorlacius,"['9201074', '9203054', '9206070', '9209012', '9305030', '9306069', '9308100', '9312017', '9402125', '9404008', '9405084', '9408134', '9510200', '9607113', '9803097', '9903237', '0204058']"
K.Amano,['9201075']
S.Higuchi,"['9201075', '9307065', '9409157', '9612237']"
Mark Doyle,['9201076']
Vl.S.Dotsenko,"['9201077', '9205065']"
Philip C.Argyres,"['9201078', '9202007', '9305093', '9310131', '9311131', '9411057', '9505062', '9505190', '9509175', '9607190', '9608129', '9706095', '9804007', '9806234', '9808138', '9910125', '9910250', '9911255', '0101114', '0101139', '0102006', '0204127']"
Keith R.Dienes,"['9201078', '9210064', '9305093', '9305094', '9306156', '9309126', '9402006', '9503055', '9505018', '9505046', '9505194', '9506001', '9510223', '9602045', '9604112', '9607190', '9707148', '9707160', '9708016', '0111264', '0210294']"
S.-H.Henry Tye,"['9201078', '9202002', '9202007', '9310131', '9310160', '9311131', '9512155', '9512156', '9601176', '9605221', '9607137', '9607138', '9609027', '9610106', '9701057', '9704113', '9710149', '9803141', '9804092', '9805157', '9806143', '9808095', '9809147', '9907203', '0004126', '0006068', '0012129', '0105293', '0106274', '0110070', '0203163', '0204074', '0207119', '0211180', '0303269', '0304188']"
M.Bauer,"['9201079', '9405028', '9604104']"
N.Sochen,"['9201079', '9406076', '9607018']"
P.Furlan,"['9201080', '9308038', '9403075', '9608018', '9709103', '9910206', '0003210', '0007219', '0110017', '0211154']"
A.Ch.Ganchev,"['9201080', '9207032', '9308037', '9403075', '9608018', '9709103', '9906139']"
R.Paunov,"['9201080', '9211112', '9303045', '9401084', '9411138', '9510174', '9612029', '9712249']"
V.B.Petkova,"['9201080', '9207032', '9308037', '9308038', '9403075', '9410209', '9510175', '9608018', '9701103', '9709103', '9906139', '0007219', '0009219', '0011021', '0101151', '0103007', '0110017', '0201239']"
N.Read,"['9202001', '0106124', '0201240']"
G.Moore,"['9202001', '9203060', '9208031', '9305139', '9409044', '9501022', '9503114', '9509151', '9510182', '9511185', '9608096', '9608145', '9608169', '9712241', '9803205', '9803265', '9808060', '9907026', '9909072']"
Stephen-Wei Chung,"['9202002', '9305080']"
S.B.Giddings,"['9202004', '9203042', '9203059', '9204072', '9304027', '9305083', '9306041', '9309152', '9310101', '9907204', '0002091', '0103231']"
A.Strominger,"['9202004', '9203042', '9209055', '9211030', '9302080', '9305083', '9309152', '9312017', '9405084', '9501022', '9504047', '9505162', '9507168', '9601029', '9603078', '0301038']"
David Gershon,"['9202005', '9210160', '9311122', '9312154']"
James M.Grochocinski,['9202007']
Petr Horava,"['9202008', '9203031', '9302020', '9309124', '9311156', '9404101', '9507060', '9510209', '9603142', '9608019', '9705055', '9712130', '9811028', '9812135', '9902160', '0001143', '0001145', '0002073', '0103171', '0212087']"
Y.Imamura,"['9202009', '9206042', '0105263']"
M.Sakamoto,"['9202009', '9206042', '9309090', '9409123', '9902069', '9902070', '9912229', '0010283', '0011058']"
T.Sasada,"['9202009', '9206042']"
M.Tabuse,"['9202009', '9206042']"
G.Nagao,"['9202010', '9202027']"
P.Fendley,"['9202011', '9204094', '9304050', '9304051', '9310058', '9402045', '9406125', '9409176']"
K.Intriligator,"['9202011', '9403198', '9408155', '9503179', '9505006', '9505051', '9506148', '9506084', '9509066', '9603051', '9605200', '9607207', '9702198', '9703110', '0103067', '0110028']"
Satoshi Iso,"['9202012', '9209003', '9312001', '9411051', '9909060', '9910262', '9910004', '0001027', '0102168', '0209137', '0209223', '0212284']"
Dimitra Karabali,"['9202012', '9209003', '9405057', '9411082', '9510157', '9602155', '9610002', '9705087', '9809087', '9907078', '0106016', '0107168', '0203264']"
B.Sakita,"['9202012', '9209003', '9304033', '9307087', '9603024', '9607047']"
V.Spiridonov,"['9202013', '9208073', '9210097', '9303004', '9304107']"
C.F.E.Holzhey,['9202014']
F.Wilczek,"['9202014', '9403108']"
Noah Linden,['9202016']
Malcolm Perry,"['9202016', '9302120', '9311005', '9512222', '9611065', '9912243', '0106008']"
Sheldon Katz,"['9202017', '9308083', '9403187', '9412117', '9510218', '9601108', '9606086', '9609239', '9611090', '9910181', '9912151', '0002012', '0006047', '0208104']"
Bernd Bruegmann,"['9202018', '9203040', '9401055']"
Rodolfo Gambini,"['9202018', '9203040', '9307179', '9309136', '9403006', '9404169', '9508036', '9602165']"
Jorge Pullin,"['9202018', '9202023', '9203040', '9301028', '9508036', '9602165']"
Shahar Ben-Menahem,['9202019']
F.Ravanini,"['9202020', '9207040', '9207069', '9311116', '9411085', '9512104', '9608091', '9803104', '9805117', '9807160', '9909031']"
Erik Verlinde,"['9202021', '9302104', '9302022', '9304128', '9502074', '9503120', '9506011', '9808128', '9912058', '0005003', '0008140', '0102042', '0204147', '0205258', '0209120']"
Lee Smolin,"['9202022', '9202054', '9202076', '9202079', '9203041', '9203079', '9703174', '9710191', '9712148', '9801022', '9808191', '9808192', '9809161', '9903166', '9904016', '9910146', '0002009', '0003056', '0003285', '0006137', '0009018', '0104050', '0106073', '0106097', '0112090', '0201031', '0209079', '0212043', '0303185']"
Richard H.Price,['9202023']
Christopher Ting,"['9202024', '9205017', '9706101']"
C.H.Lai,"['9202024', '9205017']"
J.W.Van Holten,"['9202025', '9205074', '9303112', '9303124', '9310092', '9408027', '9409139', '9409140', '9503085', '9507046', '9508136', '9510021', '9511166', '9512068', '9709141', '9801178', '9808147', '9903006', '0008097', '0104104', '0201083', '0201124', '0302135']"
G.Ferretti,"['9202026', '9204075', '9204076', '9207039', '9209129', '9212021', '9310002', '9401027', '9406177', '9705084', '0106186', '0111050', '0112187']"
S.G.Rajeev,"['9202026', '9204075', '9204076', '9207039', '9209129', '9209027', '9210136', '9305052', '9310138', '9311064', '9312178', '9401115', '9406010', '9410053', '9501080', '9508103', '9607100', '9609109', '9705103', '9710061', '9711052', '9712090', '9806002', '9806019', '9810233', '9902025', '9905072', '9905120', '9906150', '9906060', '0111263', '0202095', '0207200', '0210179']"
Changrim Ahn,"['9202028', '9306146', '9312199', '9404152', '9501023', '9606003', '9708072', '9805101', '9903134', '9907072', '0002213', '0005170', '0009250', '0012223', '0102024', '0110218', '0202043', '0206210', '0207012', '0210208', '0302093']"
Alexander Balatsky,['9202029']
L.F.Cugliandolo,"['9202030', '9202038']"
G.L.Rossini,"['9202030', '9210084', '9406033', '9411238', '9506054', '9705124', '9707199', '9810199']"
F.A.Schaposnik,"['9202030', '9202038', '9202064', '9210084', '9405163', '9406033', '9407182', '9410035', '9411238', '9507043', '9508070', '9509110', '9602017', '9602063', '9603102', '9608057', '9609202', '9703048', '9705124', '9707199', '9707210', '9710091', '9802175', '9803045', '9804146', '9805054', '9807197', '9810199', '9812094', '9901073', '9902002', '9905051', '9906244', '9911119', '9911209', '9912285', '0002236', '0004104', '0005109', '0006248', '0008118', '0011205', '0012266', '0104264', '0105085', '0106181', '0109186', '0202040', '0207180', '0207230', '0211093']"
S.Mignemi,"['9202031', '9206018', '9212146', '9303102', '9305107', '9312171', '9403113', '9410041', '9411153', '0004107', '0004150', '0009185', '0104175', '0105113', '0202010', '0202180', '0205211', '0208062', '0210213', '0302065']"
D.L.Wiltshire,"['9202031', '9412076', '9502054']"
Hidetoshi Awata,"['9202032', '9211087', '9812218', '9906248']"
G.Papadopoulos,"['9202033', '9202036', '9203070', '9207066', '9209095', '9209017', '9303076', '9306088', '9307066', '9307013', '9402079', '9406015', '9406176', '9501069', '9503063', '9505032', '9505119', '9506150', '9508175', '9508177', '9511079', '9601150', '9602108', '9603087', '9604068', '9605146', '9609095', '9610099', '9611029', '9612204', '9702202', '9705040', '9706207', '9708116', '9710072', '9712162', '9802186', '9803163', '9806191', '9811034', '9811207', '9902034', '9902166', '9905073', '9905156', '9910022', '9911253', '0002007', '0002242', '0008232', '0012034', '0102165', '0104105', '0107252', '0201111', '0208051', '0208076', '0211289', '0304126']"
B.Spence,"['9202033', '9207066', '9209095', '9303076', '9306088', '9402079', '9403061', '9501078', '9505026', '9705138', '9907053', '0007213', '0209115']"
Timothy R.Klassen,"['9202034', '9206114']"
Ezer Melzer,"['9202034', '9206114', '9304056', '9305114', '9311058', '9312043', '9412154']"
Adel Bilal,"['9202035', '9205089', '9301021', '9307052', '9312108', '9401167', '9403197', '9407151', '9501033', '9503209', '9508062', '9601007', '9601129', '9602082', '9605101', '9606111', '9606192', '9706145', '9710136', '9801047', '9805070', '9810195', '9907106', '9909220', '9912150', '0003129', '0003180', '0101055', '0106062', '0106246', '0201183', '0303243']"
P.S.Howe,"['9202036', '9203070', '9403177', '9407183', '9408062', '9412147', '9505032', '9512066', '9602108', '9607227', '9607239', '9607060', '9611008', '9611074', '9611075', '9702111', '9702008', '9705093', '9707139', '9707184', '9709014', '9710033', '9710034', '9710072', '9801202', '9803041', '9804051', '9806050', '9808162', '9810081', '9811172', '9812133', '9905085', '9906051', '9910150', '9910011', '0001138', '0001169', '0004102', '0005135', '0008047', '0008048', '0009217', '0103191', '0105218', '0106238', '0107212', '0111036', '0206148', '0211252', '0211279']"
Dieter R.Brill,['9202037']
H.Vucetich,['9202038']
Maximilian Kreuzer,"['9202039', '9205004', '9210053', '9211047', '9303015', '9402114', '9503174', '9912174', '0002240', '0005148', '0006152', '0103243', '0104110', '0106159', '0203077']"
Harald Skarke,"['9202039', '9205004', '9211047', '9303151', '9407086', '9409077', '9704129', '9706226', '9806059', '0002240', '0002246', '0104254', '0303218']"
Jose M.Figueroa-O'Farrill,['9202040']
Eduardo Ramos,"['9202040', '9206040', '9303034', '9402056', '9703117', '9709131', '9807143']"
Michael Lassig,['9202041']
H.O.Girotti,"['9202043', '9210158', '9210161', '9311008', '9411052', '9411224', '9612058', '9612059', '9702065', '9703200', '9803153', '9906019', '9906042', '9910017', '0005272', '0101159', '0102101', '0109222', '0207220', '0211176', '0301237']"
M.Gomes,"['9202043', '9210158', '9210161', '9411224', '9610247', '9611027', '9702065', '9703200', '9710025', '9711184', '9801192', '9809062', '9810106', '9904139', '9906170', '9908181', '0001221', '0004168', '0005258', '0005272', '0007080', '0102101', '0107022', '0109222', '0207220', '0211176', '0301124']"
V.O.Rivelles,"['9202043', '9301029', '9410003', '9605171', '9702065', '0004019', '0005272', '0102101', '0107022', '0109222', '0207220', '0211176']"
Amitabha Lahiri,"['9202045', '9301060', '9302046', '9406216', '9410136', '9602009', '9911107', '0001152', '0102013', '0107104', '0109220']"
Luis E.Ibanez,"['9202046', '9505098', '9802103']"
Dieter Luest,"['9202046', '9303003', '9303175', '9312025', '9504006', '9510022', '9903028']"
Daniel Altschuler,['9202047']
Antoine Coste,['9202047']
Alexander Moroz,"['9202048', '9206074', '9404104', '9511121']"
I.Ya.Aref'Eva,"['9202049', '9205020', '9212156', '9301065', '9301081', '9305176', '9306014', '9308119', '9311115', '9401127', '9406205', '9412155', '9412157', '9502092', '9503031', '9503041', '9510210', '9601022', '9605005', '9608132', '9609225', '9610029', '9612236', '9702077', '9702079', '9705067', '9710032', '9802091', '9802163', '9803028', '9804021', '9804182', '9902106', '9905035', '9907114', '9910269', '9911149', '9912075', '0001215', '0003176', '0004114', '0011117', '0107197', '0111208', '0112214', '0201197', '0203227', '0204239', '0301137']"
A.P.Zubarev,"['9202049', '9205020', '9212156', '9312120', '9503031', '9512166', '9605005', '9609007']"
J.D.Cohn,"['9202050', '9205026', '9210156', '9304129']"
H.Dykstra,['9202050']
Pberglund,['9202051']
B.Rgreene,['9202051']
Thübsch,['9202051']
W.D.Mcglinn,"['9202052', '9511078']"
S.Sen,"['9202052', '9511078', '9707188']"
R.D.Sorkin,"['9202052', '9511078']"
A.M.Srivastava,['9202052']
Abhay Ashtekar,"['9202053', '9202054', '9202063', '9202079', '9203079', '9205038', '9404019', '9412073', '9601054', '9603083', '9605128', '9701136', '9911230']"
C.J.Isham,['9202053']
Carlo Rovelli,"['9202054', '9202063', '9202079', '9203079', '9304126', '9304164', '9910131']"
A.Mikovic,"['9202055', '9204022', '9207006', '9211082', '9302067', '9307157', '9307033', '9402095', '9407104', '9601144', '9606098', '9611219', '9704014', '9706066', '0108099']"
D.B.Fairlie,"['9202056', '9204074', '9303132', '9305049', '9305050', '9310005', '9310006', '9403134', '9406043', '9406044', '9512217', '9606022', '9608001', '9609227', '9806198', '9902204', '9908157', '0003048', '0106003']"
J.Govaerts,"['9202056', '9204074']"
Alexios P.Polychronakos,"['9202057', '9206046', '9207047', '9210109', '9303153', '9309044', '9310095', '9404192', '9411054', '9503077', '9702066', '9703073', '9705047', '9804141', '9806189', '9810211', '9902157', '9907064', '0007043', '0010264', '0102157', '0103013', '0106011', '0106072', '0112141', '0201070', '0206013', '0304135']"
Katsushi Ito,"['9202058', '9207009', '9207010', '9210143', '9302039', '9310076', '9405049', '9503165', '9507144', '9602073', '9603002', '9603073', '9608054', '9609104', '9703180', '9708017', '9712018', '9803126', '9807183', '9811002', '9906023', '9910047', '0105012', '0204009', '0209004', '0210067', '0302127']"
Jens Ole Madsen,"['9202058', '9207009', '9207010', '9703065', '9712227', '9905103']"
Mary K.Gaillard,"['9202059', '9408149', '9412125', '9506149', '9506207', '9605170', '9606052', '9606135', '9611149', '9702105', '9705226', '9712103', '9806157', '9806227', '9905122', '9910147', '0004170', '0204100', '0206249']"
